Longitude,Latitude,depth
109.130074,18.333123,4.09
109.142822,18.324095,2.16
109.140665,18.327333,2.52
109.135604,18.319102,3.39
109.141995,18.313795,4.14
109.140168,18.324913,3.58
109.13754,18.329396,3.77
109.141525,18.329824,1.93
109.136612,18.331137,3.96
109.143305,18.32669,1.76
109.136706,18.329423,3.87
109.14077,18.328312,2.81
109.143898,18.326778,1.5
109.14095,18.328943,2.22
109.133857,18.329785,4.24
109.135728,18.327232,4.08
109.14463,18.321183,3.69
109.144436,18.321301,3.05
109.13886,18.326228,4.21
109.137555,18.3275,3.95
109.14121,18.325167,3.69
109.139999,18.324724,3.46
109.143117,18.322748,1.99
109.141127,18.327897,2.72
109.142727,18.313893,2.44
109.139412,18.324548,3.81
109.135947,18.328528,4.07
109.135701,18.326436,4.21
109.141993,18.328049,1.58
109.142737,18.325721,2.52
109.144156,18.321899,1.14
109.143224,18.314592,2.62
109.136711,18.331056,3.9
109.141238,18.331656,2.01
109.134973,18.330839,3.92
109.1418,18.325873,2.25
109.1417,18.327675,1.95
109.143883,18.322982,1.27
109.136869,18.327979,4.02
109.144548,18.322192,0.91
109.14305,18.32698,1.95
109.140563,18.330856,2.33
109.134252,18.331183,3.87
109.13686,18.331508,3.83
109.143702,18.314406,2.14
109.135463,18.327654,4.16
109.136318,18.328511,4.03
109.138481,18.332026,3.22
109.142372,18.326798,1.41
109.142478,18.326055,2.07
109.143025,18.322168,1.9
109.135721,18.327893,4.19
109.144653,18.323171,1.13
109.134682,18.332141,3.81
109.144141,18.322648,1.37
109.139443,18.331568,2.42
109.138586,18.329033,3.57
109.144272,18.322746,1.31
109.136887,18.332305,3.66
109.143772,18.314676,2.15
109.141901,18.322349,2.18
109.138281,18.329937,3.8
109.135402,18.328973,4.18
109.135249,18.325166,4.24
109.140298,18.326158,2.96
109.139602,18.331315,2.68
109.137354,18.331677,3.67
109.142539,18.329855,2.27
109.141897,18.323541,2.54
109.14312,18.332943,1.45
109.135009,18.3304,3.9
109.141114,18.326351,1.55
